종류,세부품명,규격,단위,단가,타입,비고
판,코르텐강판,4×10 3T,EA,165000,,
판,코르텐강판,4×10 3T,M²,55000,,
판,합판 4×8,12T,EA,30000,,
판,합판 3×6,12T,EA,16000,,
판,방수 시트,,EA,30000,,
칼라파이프,,25×25 1.4T,EA,10000,,
칼라파이프,흑,25×25 2T,EA,10000,,
칼라파이프,,30×30 1.4T,EA,11000,,
칼라파이프,,30×30 2T,EA,12000,,
칼라파이프,,20×40 1.4T,EA,11000,,
칼라파이프,,20×40 2T,EA,12000,,
칼라파이프,,40×40 1.4T,EA,12000,,
칼라파이프,,40×40 2T,EA,17000,,
칼라파이프,,30×50 1.4T,EA,12000,,
칼라파이프,,30×50 2T,EA,17000,,
칼라파이프,,60×30 2T,EA,18000,,
칼라파이프,,50×50 1.4T,EA,16000,,
칼라파이프,,50×50 2T,EA,20000,,
칼라파이프,,75×45 1.4T,EA,18000,,
칼라파이프,,75×45 2T,EA,24000,,
칼라파이프,,75×45 2.9T,EA,34000,,
칼라파이프,,75×75 2T,EA,31000,,
칼라파이프,,100×50 1.4T,EA,23000,,
칼라파이프,,100×50 2T,EA,31000,,
칼라파이프,,100×100 2T,EA,40000,,
칼라파이프,,100×100 2.3T,EA,56100,,
칼라파이프,,125×75 2T,EA,38000,,
칼라파이프,,125×125 2.9T,EA,77000,,
칼라파이프,,150×50 2T,EA,50000,,
칼라파이프,,150×50 3T,EA,70000,,
칼라파이프,,150×75 3T,EA,78000,,
칼라파이프,,150×100 3T,EA,85000,,
칼라파이프,,150×150 4T,EA,145000,,
칼라파이프,,200×100 4T,EA,150000,,
칼라파이프,흑,200×200 5.7T,EA,290000,,
칼라파이프,D21.9,2T,EA,11000,,
칼라파이프,D27.2,2.4T,EA,14000,,
칼라파이프,D48.6,1.6T,EA,18000,,
칼라파이프,D101.6,2T,EA,32000,,
칼라파이프,D139.8,2.9T,EA,60000,,
칼라파이프,D165.2,3T,EA,102000,,
칼라파이프,D10환봉,,EA,5000,,4M 당 단가
평철,,38 1T,EA,2600,,6M 당 단가
평철,,38 6T,EA,15000,,6M 당 단가
평철,,50 1T,EA,2900,,6M 당 단가
평철,,50 9T,EA,26000,,6M 당 단가
평철,,50 12T,EA,35000,,6M 당 단가
평철,,65 1T,EA,3600,,6M 당 단가
평철,,65 9T,EA,32000,,6M 당 단가
평철,스텐,40 6M 1T,EA,8000,,6M 당 단가
평철,스텐,40 6M 10T,EA,80000,,6M 당 단가
평철,스텐,50 6M 1T,EA,10000,,6M 당 단가
평철,스텐,50 6M 10T,EA,100000,,6M 당 단가
스텐레스파이프,201,12.7 5T,M,710,,1M 당 단가
스텐레스파이프,201,12.7 7T,M,950,,1M 당 단가
스텐레스파이프,201,12.7 9T,M,1150,,1M 당 단가
스텐레스파이프,201,12.7 11T,M,1380,,1M 당 단가
스텐레스파이프,201,15.8 5T,M,820,,1M 당 단가
스텐레스파이프,201,15.8 7T,M,1060,,1M 당 단가
스텐레스파이프,201,15.8 9T,M,1270,,1M 당 단가
스텐레스파이프,201,15.8 11T,M,1490,,1M 당 단가
스텐레스파이프,201,15.8 15T,M,2130,,1M 당 단가
스텐레스파이프,201,19.1 5T,M,930,,1M 당 단가
스텐레스파이프,201,19.1 7T,M,1210,,1M 당 단가
스텐레스파이프,201,19.1 9T,M,1460,,1M 당 단가
스텐레스파이프,201,19.1 11T,M,1760,,1M 당 단가
스텐레스파이프,201,19.1 15T,M,2480,,1M 당 단가
스텐레스파이프,201,22.3 5T,M,1050,,1M 당 단가
스텐레스파이프,201,22.3 7T,M,1420,,1M 당 단가
스텐레스파이프,201,22.3 9T,M,1650,,1M 당 단가
스텐레스파이프,201,22.3 11T,M,1990,,1M 당 단가
스텐레스파이프,201,22.3 15T,M,2820,,1M 당 단가
스텐레스파이프,201,22.3 20T,M,3950,,1M 당 단가
스텐레스파이프,201,25.4 5T,M,1170,,1M 당 단가
스텐레스파이프,201,25.4 7T,M,1440,,1M 당 단가
스텐레스파이프,201,25.4 9T,M,1780,,1M 당 단가
스텐레스파이프,201,25.4 11T,M,2160,,1M 당 단가
스텐레스파이프,201,25.4 15T,M,2960,,1M 당 단가
스텐레스파이프,201,25.4 20T,M,4060,,1M 당 단가
스텐레스파이프,201,31.8 7T,M,1830,,1M 당 단가
스텐레스파이프,201,31.8 9T,M,2230,,1M 당 단가
스텐레스파이프,201,31.8 11T,M,2720,,1M 당 단가
스텐레스파이프,201,31.8 15T,M,3770,,1M 당 단가
스텐레스파이프,201,31.8 20T,M,5080,,1M 당 단가
스텐레스파이프,201,38.1 7T,M,2180,,1M 당 단가
스텐레스파이프,201,38.1 9T,M,2670,,1M 당 단가
스텐레스파이프,201,38.1 11T,M,3250,,1M 당 단가
스텐레스파이프,201,38.1 15T,M,4540,,1M 당 단가
스텐레스파이프,201,38.1 20T,M,6100,,1M 당 단가
스텐레스파이프,201,50.8 7T,M,3230,,1M 당 단가
스텐레스파이프,201,50.8 9T,M,3570,,1M 당 단가
스텐레스파이프,201,50.8 11T,M,4310,,1M 당 단가
스텐레스파이프,201,50.8 15T,M,6110,,1M 당 단가
스텐레스파이프,201,50.8 20T,M,8210,,1M 당 단가
스텐레스파이프,201,63.5 9T,M,4550,,1M 당 단가
스텐레스파이프,201,63.5 11T,M,5490,,1M 당 단가
스텐레스파이프,201,63.5 15T,M,7690,,1M 당 단가
스텐레스파이프,201,63.5 20T,M,10440,,1M 당 단가
스텐레스파이프,201,76.3 9T,M,5450,,1M 당 단가
스텐레스파이프,201,76.3 11T,M,6620,,1M 당 단가
스텐레스파이프,201,76.3 15T,M,9310,,1M 당 단가
스텐레스파이프,201,76.3 20T,M,12590,,1M 당 단가
스텐레스파이프,201,89.1 11T,M,7880,,1M 당 단가
스텐레스파이프,201,89.1 15T,M,11360,,1M 당 단가
스텐레스파이프,201,89.1 20T,M,15720,,1M 당 단가
스텐레스파이프,201,96 11T,M,8500,,1M 당 단가
스텐레스파이프,201,96 15T,M,12160,,1M 당 단가
스텐레스파이프,201,96 20T,M,16750,,1M 당 단가
스텐레스파이프,201,101.6 11T,M,8900,,1M 당 단가
스텐레스파이프,201,101.6 15T,M,12530,,1M 당 단가
스텐레스파이프,201,101.6 20T,M,17330,,1M 당 단가
스텐레스파이프,201,127 11T,M,11600,,1M 당 단가
스텐레스파이프,201,127 15T,M,16290,,1M 당 단가
스텐레스파이프,201,127 20T,M,21990,,1M 당 단가
스텐레스파이프,201,152.4 11T,M,14550,,1M 당 단가
스텐레스파이프,201,152.4 15T,M,20060,,1M 당 단가
스텐레스파이프,201,152.4 20T,M,27070,,1M 당 단가
스텐레스파이프,201,165.2 15T,M,22350,,1M 당 단가
스텐레스파이프,201,165.2 20T,M,29670,,1M 당 단가
스텐레스파이프,201,216.3 15T,M,32490,,1M 당 단가
스텐레스파이프,201,216.3 20T,M,41000,,1M 당 단가
스텐레스파이프,201,216.3 30T,M,60820,,1M 당 단가
스텐레스파이프,304,9.6 5T,M,860,,1M 당 단가
스텐레스파이프,304,9.6 7T,M,1100,,1M 당 단가
스텐레스파이프,304,9.6 9T,M,1340,,1M 당 단가
스텐레스파이프,304,9.6 11T,M,1570,,1M 당 단가
스텐레스파이프,304,12.7 5T,M,980,,1M 당 단가
스텐레스파이프,304,12.7 7T,M,1280,,1M 당 단가
스텐레스파이프,304,12.7 9T,M,1560,,1M 당 단가
스텐레스파이프,304,12.7 11T,M,1820,,1M 당 단가
스텐레스파이프,304,12.7 15T,M,2510,,1M 당 단가
스텐레스파이프,304,15.8 5T,M,1160,,1M 당 단가
스텐레스파이프,304,15.8 7T,M,1500,,1M 당 단가
스텐레스파이프,304,15.8 9T,M,1880,,1M 당 단가
스텐레스파이프,304,15.8 11T,M,2160,,1M 당 단가
스텐레스파이프,304,15.8 15T,M,2860,,1M 당 단가
스텐레스파이프,304,15.8 20T,M,4300,,1M 당 단가
스텐레스파이프,304,19.1 5T,M,1370,,1M 당 단가
스텐레스파이프,304,19.1 7T,M,1750,,1M 당 단가
스텐레스파이프,304,19.1 9T,M,2190,,1M 당 단가
스텐레스파이프,304,19.1 11T,M,2590,,1M 당 단가
스텐레스파이프,304,19.1 15T,M,3450,,1M 당 단가
스텐레스파이프,304,19.1 20T,M,4560,,1M 당 단가
스텐레스파이프,304,22.3 5T,M,1520,,1M 당 단가
스텐레스파이프,304,22.3 7T,M,2080,,1M 당 단가
스텐레스파이프,304,22.3 9T,M,2440,,1M 당 단가
스텐레스파이프,304,22.3 11T,M,2860,,1M 당 단가
스텐레스파이프,304,22.3 15T,M,3820,,1M 당 단가
스텐레스파이프,304,22.3 20T,M,5180,,1M 당 단가
스텐레스파이프,304,25.4 5T,M,1690,,1M 당 단가
스텐레스파이프,304,25.4 7T,M,2170,,1M 당 단가
스텐레스파이프,304,25.4 9T,M,2690,,1M 당 단가
스텐레스파이프,304,25.4 11T,M,3180,,1M 당 단가
스텐레스파이프,304,25.4 15T,M,4220,,1M 당 단가
스텐레스파이프,304,25.4 20T,M,5550,,1M 당 단가
스텐레스파이프,304,27.2 5T,M,1820,,1M 당 단가
스텐레스파이프,304,27.2 7T,M,2470,,1M 당 단가
스텐레스파이프,304,27.2 9T,M,2960,,1M 당 단가
스텐레스파이프,304,27.2 11T,M,3470,,1M 당 단가
스텐레스파이프,304,27.2 15T,M,4610,,1M 당 단가
스텐레스파이프,304,27.2 20T,M,6020,,1M 당 단가
스텐레스파이프,304,31.8 5T,M,2130,,1M 당 단가
스텐레스파이프,304,31.8 7T,M,2900,,1M 당 단가
스텐레스파이프,304,31.8 9T,M,3380,,1M 당 단가
스텐레스파이프,304,31.8 11T,M,4010,,1M 당 단가
스텐레스파이프,304,31.8 15T,M,5350,,1M 당 단가
스텐레스파이프,304,31.8 20T,M,6960,,1M 당 단가
스텐레스파이프,304,34 7T,M,3110,,1M 당 단가
스텐레스파이프,304,34 9T,M,3840,,1M 당 단가
스텐레스파이프,304,34 11T,M,4350,,1M 당 단가
스텐레스파이프,304,34 15T,M,5860,,1M 당 단가
스텐레스파이프,304,34 20T,M,7680,,1M 당 단가
스텐레스파이프,304,38.1 7T,M,3290,,1M 당 단가
스텐레스파이프,304,38.1 9T,M,4060,,1M 당 단가
스텐레스파이프,304,38.1 11T,M,4800,,1M 당 단가
스텐레스파이프,304,38.1 15T,M,6440,,1M 당 단가
스텐레스파이프,304,38.1 20T,M,8420,,1M 당 단가
스텐레스파이프,304,42.7 7T,M,3920,,1M 당 단가
스텐레스파이프,304,42.7 9T,M,4740,,1M 당 단가
스텐레스파이프,304,42.7 11T,M,5500,,1M 당 단가
스텐레스파이프,304,42.7 15T,M,7430,,1M 당 단가
스텐레스파이프,304,42.7 20T,M,9730,,1M 당 단가
스텐레스파이프,304,45 7T,M,4130,,1M 당 단가
스텐레스파이프,304,45 9T,M,5120,,1M 당 단가
스텐레스파이프,304,45 11T,M,6090,,1M 당 단가
스텐레스파이프,304,45 15T,M,8230,,1M 당 단가
스텐레스파이프,304,45 20T,M,10840,,1M 당 단가
스텐레스파이프,304,48.6 7T,M,4470,,1M 당 단가
스텐레스파이프,304,48.6 9T,M,5340,,1M 당 단가
스텐레스파이프,304,48.6 11T,M,6320,,1M 당 단가
스텐레스파이프,304,48.6 15T,M,8440,,1M 당 단가
스텐레스파이프,304,48.6 20T,M,11070,,1M 당 단가
스텐레스파이프,304,50.8 7T,M,4670,,1M 당 단가
스텐레스파이프,304,50.8 9T,M,5440,,1M 당 단가
스텐레스파이프,304,50.8 11T,M,6410,,1M 당 단가
스텐레스파이프,304,50.8 15T,M,8680,,1M 당 단가
스텐레스파이프,304,50.8 20T,M,11360,,1M 당 단가
스텐레스파이프,304,50.8 30T,M,17300,,1M 당 단가
스텐레스파이프,304,60.5 9T,M,6720,,1M 당 단가
스텐레스파이프,304,60.5 11T,M,7900,,1M 당 단가
스텐레스파이프,304,60.5 15T,M,10650,,1M 당 단가
스텐레스파이프,304,60.5 20T,M,13990,,1M 당 단가
스텐레스파이프,304,60.5 30T,M,21450,,1M 당 단가
스텐레스파이프,304,63.5 9T,M,7010,,1M 당 단가
스텐레스파이프,304,63.5 11T,M,8140,,1M 당 단가
스텐레스파이프,304,63.5 15T,M,10910,,1M 당 단가
스텐레스파이프,304,63.5 20T,M,14370,,1M 당 단가
스텐레스파이프,304,63.5 30T,M,22130,,1M 당 단가
스텐레스파이프,304,76.3 9T,M,8440,,1M 당 단가
스텐레스파이프,304,76.3 11T,M,9800,,1M 당 단가
스텐레스파이프,304,76.3 15T,M,13220,,1M 당 단가
스텐레스파이프,304,76.3 20T,M,17390,,1M 당 단가
스텐레스파이프,304,76.3 30T,M,26820,,1M 당 단가
스텐레스파이프,304,89.1 9T,M,9940,,1M 당 단가
스텐레스파이프,304,89.1 11T,M,11620,,1M 당 단가
스텐레스파이프,304,89.1 15T,M,15920,,1M 당 단가
스텐레스파이프,304,89.1 20T,M,21230,,1M 당 단가
스텐레스파이프,304,89.1 30T,M,31770,,1M 당 단가
스텐레스파이프,304,96 9T,M,10720,,1M 당 단가
스텐레스파이프,304,96 11T,M,12520,,1M 당 단가
스텐레스파이프,304,96 15T,M,17160,,1M 당 단가
스텐레스파이프,304,96 20T,M,22920,,1M 당 단가
스텐레스파이프,304,96 30T,M,34260,,1M 당 단가
스텐레스파이프,304,101.6 9T,M,11270,,1M 당 단가
스텐레스파이프,304,101.6 11T,M,13140,,1M 당 단가
스텐레스파이프,304,101.6 15T,M,17740,,1M 당 단가
스텐레스파이프,304,101.6 20T,M,23630,,1M 당 단가
스텐레스파이프,304,101.6 30T,M,36030,,1M 당 단가
스텐레스파이프,304,114.3 11T,M,16220,,1M 당 단가
스텐레스파이프,304,114.3 15T,M,20740,,1M 당 단가
스텐레스파이프,304,114.3 20T,M,26840,,1M 당 단가
스텐레스파이프,304,114.3 30T,M,40900,,1M 당 단가
스텐레스파이프,304,127 11T,M,16780,,1M 당 단가
스텐레스파이프,304,127 15T,M,22700,,1M 당 단가
스텐레스파이프,304,127 20T,M,29750,,1M 당 단가
스텐레스파이프,304,127 30T,M,45080,,1M 당 단가
스텐레스파이프,304,139.8 11T,M,19870,,1M 당 단가
스텐레스파이프,304,139.8 15T,M,27030,,1M 당 단가
스텐레스파이프,304,139.8 20T,M,34220,,1M 당 단가
스텐레스파이프,304,139.8 30T,M,50910,,1M 당 단가
스텐레스파이프,304,152.4 11T,M,20700,,1M 당 단가
스텐레스파이프,304,152.4 15T,M,27740,,1M 당 단가
스텐레스파이프,304,152.4 20T,M,36460,,1M 당 단가
스텐레스파이프,304,152.4 30T,M,54740,,1M 당 단가
스텐레스파이프,304,165.2 15T,M,31300,,1M 당 단가
스텐레스파이프,304,165.2 20T,M,39810,,1M 당 단가
스텐레스파이프,304,165.2 30T,M,59550,,1M 당 단가
스텐레스파이프,304,216.3 15T,M,44700,,1M 당 단가
스텐레스파이프,304,216.3 20T,M,53830,,1M 당 단가
스텐레스파이프,304,216.3 30T,M,78510,,1M 당 단가
폴리카보네이트,단판,3T,M²,20520,POLY,가로 * 세로 * 단가
폴리카보네이트,단판,4.5T,M²,30780,POLY,가로 * 세로 * 단가
폴리카보네이트,단판,5T,M²,34200,POLY,가로 * 세로 * 단가
폴리카보네이트,(에스폴리텍) 복층,10T,M²,17500,POLY,가로 * 세로 * 단가
폴리카보네이트,(아이에스옵틱스) 복층,10T,M²,16500,POLY,가로 * 세로 * 단가
폴리카보네이트,덮개바,,EA,12000,,
HPL,,5T,EA,165000,,
HPL,,6T,EA,188000,,
HPL,,8T,EA,234000,,
HPL,,10T,EA,280000,,
